lambda,dim,k1_effect_pct,u_scale,mu_val,k1_lambda
1e-08,1,0.00177136909207913,51773624107.5189,15,1.70115567681868e-07
1e-08,2,0.00142822340104731,20502325149.4005,15,1.70115567681868e-07
2.15443469003188e-08,1,0.0017713690955923,51773624107.5258,15,1.70115567681868e-07
2.15443469003188e-08,2,0.00142822340387977,20502325149.4032,15,1.70115567681868e-07
4.64158883361278e-08,1,0.00177136910316118,51773624107.5405,15,1.70115567681868e-07
4.64158883361278e-08,2,0.00142822340998207,20502325149.4091,15,1.70115567681868e-07
1e-07,1,0.00177136911946802,51773624107.5724,15,1.70115567681868e-07
1e-07,2,0.00142822342312914,20502325149.4217,15,1.70115567681868e-07
1.70115567681868e-07,1,0.00177136914080585,51773624107.6141,15,1.70115567681868e-07
1.70115567681868e-07,2,0.00142822344033223,20502325149.4382,15,1.70115567681868e-07
2.15443469003188e-07,1,0.00177136915459996,51773624107.641,15,1.70115567681868e-07
2.15443469003188e-07,2,0.00142822345145361,20502325149.4489,15,1.70115567681868e-07
4.64158883361278e-07,1,0.00177136923028929,51773624107.7889,15,1.70115567681868e-07
4.64158883361278e-07,2,0.00142822351247682,20502325149.5075,15,1.70115567681868e-07
1e-06,1,0.00177136939335729,51773624108.1074,15,1.70115567681868e-07
1e-06,2,0.00142822364394725,20502325149.6338,15,1.70115567681868e-07
2.15443469003189e-06,1,0.00177136974467635,51773624108.7938,15,1.70115567681868e-07
2.15443469003189e-06,2,0.00142822392719185,20502325149.9058,15,1.70115567681868e-07
4.64158883361277e-06,1,0.00177137050157035,51773624110.2724,15,1.70115567681868e-07
4.64158883361277e-06,2,0.00142822453742377,20502325150.4919,15,1.70115567681868e-07
1e-05,1,0.00177137213224904,51773624113.458,15,1.70115567681868e-07
1e-05,2,0.00142822585212857,20502325151.7545,15,1.70115567681868e-07
2.15443469003189e-05,1,0.00177137564543998,51773624120.3211,15,1.70115567681868e-07
2.15443469003189e-05,2,0.00142822868457418,20502325154.4748,15,1.70115567681868e-07
4.64158883361277e-05,1,0.00177138321437996,51773624135.1073,15,1.70115567681868e-07
4.64158883361277e-05,2,0.00142823478689319,20502325160.3354,15,1.70115567681868e-07
0.0001,1,0.00177139952116711,51773624166.9631,15,1.70115567681868e-07
0.0001,2,0.00142824793394118,20502325172.9618,15,1.70115567681868e-07
0.000215443469003188,1,0.00177143465307503,51773624235.5943,15,1.70115567681868e-07
0.000215443469003188,2,0.0014282762583972,20502325200.1645,15,1.70115567681868e-07
0.000464158883361278,1,0.00177151034247582,51773624383.4559,15,1.70115567681868e-07
0.000464158883361278,2,0.00142833728158758,20502325258.771,15,1.70115567681868e-07
0.001,1,0.00177167341034514,51773624702.014,15,1.70115567681868e-07
0.001,2,0.00142846875206481,20502325385.0349,15,1.70115567681868e-07
0.00215443469003188,1,0.00177202472941234,51773625388.3266,15,1.70115567681868e-07
0.00215443469003188,2,0.00142875199661603,20502325657.0621,15,1.70115567681868e-07
0.00464158883361278,1,0.00177278162336691,51773626866.9422,15,1.70115567681868e-07
0.00464158883361278,2,0.00142936222847749,20502326243.1271,15,1.70115567681868e-07
0.01,1,0.00177441230181229,51773630052.523,15,1.70115567681868e-07
0.01,2,0.00143067693305016,20502327505.7657,15,1.70115567681868e-07
0.0215443469003188,1,0.0017779254913413,51773636915.6489,15,1.70115567681868e-07
0.0215443469003188,2,0.00143350937763845,20502330226.0381,15,1.70115567681868e-07
0.0464158883361278,1,0.00178549442557017,51773651701.8053,15,1.70115567681868e-07
0.0464158883361278,2,0.00143961169196295,20502336086.6874,15,1.70115567681868e-07
0.1,1,0.00180180118534917,51773683557.6135,15,1.70115567681868e-07
0.1,2,0.00145275871777833,20502348713.0735,15,1.70115567681868e-07
0.215443469003188,1,0.00183693296611208,51773752188.8719,15,1.70115567681868e-07
