success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,1.3749999999999991,1.3749999999999991,43.7594873382079,1.7984688005333683e-06,0,55,143.3878681646258,7886.332749054418,0.025,50,1.25,Vanilla MPC,0,300,42,7.7,5.1
True,REACHED,1.15,1.15,48.03450112559171,1.401148809934012e-06,0,46,160.59243839086065,7387.252165979589,0.025,50,1.25,Vanilla MPC,1,300,42,7.7,5.1
True,REACHED,0.5500000000000002,0.5500000000000002,18.557212584327452,5.592582002116371,0,22,144.75281813660828,3184.561999005382,0.025,50,1.25,Vanilla MPC,2,300,42,7.7,5.1
True,REACHED,0.4000000000000001,0.4000000000000001,11.249900733231538,5.659114564378226,0,16,195.00705731570633,3120.1129170513013,0.025,50,1.25,Vanilla MPC,3,300,42,7.7,5.1
True,REACHED,1.2249999999999996,1.2249999999999996,53.6900994139664,3.536279350044243e-06,0,49,154.34702536790888,7563.004243027535,0.025,50,1.25,Vanilla MPC,4,300,42,7.7,5.1
True,REACHED,0.5250000000000001,0.5250000000000001,8.93981784815693,2.4761115567223966,0,21,165.95052590266624,3484.961043955991,0.025,50,1.25,Vanilla MPC,5,300,42,7.7,5.1
True,REACHED,1.2999999999999994,1.2999999999999994,52.83266970277079,3.165840050081909e-06,0,52,144.53727721131423,7515.938414988341,0.025,50,1.25,Vanilla MPC,6,300,42,7.7,5.1
True,REACHED,0.8750000000000004,0.8750000000000004,15.733885811035467,3.309988913429228,0,35,138.67707014183648,4853.697454964276,0.025,50,1.25,Vanilla MPC,7,300,42,7.7,5.1
True,REACHED,0.7500000000000003,0.7500000000000003,21.230728239950913,0.2770294485025524,0,30,159.01134716696106,4770.340415008832,0.025,50,1.25,Vanilla MPC,8,300,42,7.7,5.1
True,REACHED,0.8500000000000004,0.8500000000000004,32.588553723813014,8.659447764158223e-07,0,34,155.56727323436303,5289.2872899683425,0.025,50,1.25,Vanilla MPC,9,300,42,7.7,5.1
True,REACHED,0.7750000000000004,0.7750000000000004,21.520858705166173,0.8586522595269721,0,31,118.7513360012916,3681.29141604004,0.025,50,1.25,Vanilla MPC,10,300,42,7.7,5.1
True,REACHED,0.4000000000000001,0.4000000000000001,11.04506796289366,2.4777149688874744,0,16,132.21963806518033,2115.5142090428853,0.025,50,1.25,Vanilla MPC,11,300,42,7.7,5.1
True,REACHED,0.7500000000000003,0.7500000000000003,11.749334235989158,6.175354325963444e-06,0,30,147.67503883194877,4430.251164958463,0.025,50,1.25,Vanilla MPC,12,300,42,7.7,5.1
True,REACHED,0.8750000000000004,0.8750000000000004,24.7031090653214,2.329735838435014e-06,0,35,135.62398220071503,4746.839377025026,0.025,50,1.25,Vanilla MPC,13,300,42,7.7,5.1
True,REACHED,1.15,1.15,28.97982674846881,1.7701467417397724e-06,0,46,122.19517943499932,5620.9782540099695,0.025,50,1.25,Vanilla MPC,14,300,42,7.7,5.1
True,REACHED,0.5500000000000002,0.5500000000000002,9.309173123969313,4.250575321978716,0,22,130.31345645206537,2866.896041945438,0.025,50,1.25,Vanilla MPC,15,300,42,7.7,5.1
