success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,0.31000000000000016,0.31000000000000016,29507.10768931812,0.05359215271816886,0,62,325.1260792735153,20157.816914957948,0.005,40,0.2,Vanilla MPC,0,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,18094.892942536204,1.9623899394360933e-06,0,58,319.08609048219535,18506.99324796733,0.005,40,0.2,Vanilla MPC,1,150,42,679.2,500.1
True,REACHED,0.23000000000000012,0.23000000000000012,3450.7999568546593,2.350279409313316e-06,0,46,354.0748633025467,16287.443711917149,0.005,40,0.2,Vanilla MPC,2,150,42,679.2,500.1
True,REACHED,0.2500000000000001,0.2500000000000001,5527.022783510009,2.620306898710531,0,50,269.82437751983525,13491.218875991763,0.005,40,0.2,Vanilla MPC,3,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,17689.21780022671,1.0593460615382355e-06,0,58,324.51990725957296,18822.154621055233,0.005,40,0.2,Vanilla MPC,4,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.005765507230717,1,0,4122.834915993735,4122.834915993735,0.005,40,0.2,Vanilla MPC,5,150,42,679.2,500.1
True,REACHED,0.13500000000000004,0.13500000000000004,1321.366033367904,0.33168080512526465,0,27,339.01894755534295,9153.51158399426,0.005,40,0.2,Vanilla MPC,6,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,2.468290510110826,1,0,4658.0072499928065,4658.0072499928065,0.005,40,0.2,Vanilla MPC,7,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,18689.747538838335,1.1903385264133703e-06,0,59,315.3651292024918,18606.542622947018,0.005,40,0.2,Vanilla MPC,8,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,15660.932211379224,1.8932977763341796e-06,0,58,311.6782995162668,18077.341371943476,0.005,40,0.2,Vanilla MPC,9,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,12461.617134262191,2.2116271729544223e-06,0,56,274.6905237488266,15382.669329934288,0.005,40,0.2,Vanilla MPC,10,150,42,679.2,500.1
True,REACHED,0.2550000000000001,0.2550000000000001,6334.602270738167,1.3368697846810953,0,51,259.87399268670544,13253.573627021979,0.005,40,0.2,Vanilla MPC,11,150,42,679.2,500.1
True,REACHED,0.27000000000000013,0.27000000000000013,9133.818025002072,1.1256510989241413,0,54,280.9535679084042,15171.492667053826,0.005,40,0.2,Vanilla MPC,12,150,42,679.2,500.1
True,REACHED,0.2150000000000001,0.2150000000000001,2755.3937399879137,2.4657798913807483e-06,0,43,305.34229467407704,13129.718670985312,0.005,40,0.2,Vanilla MPC,13,150,42,679.2,500.1
True,REACHED,0.2500000000000001,0.2500000000000001,5579.808865892884,4.1037015321657915,0,50,246.69488157931482,12334.744078965741,0.005,40,0.2,Vanilla MPC,14,150,42,679.2,500.1
True,REACHED,0.18000000000000008,0.18000000000000008,1971.9353973390826,0.33733285239208755,0,36,285.84613663810563,10290.460918971803,0.005,40,0.2,Vanilla MPC,15,150,42,679.2,500.1
True,REACHED,0.27500000000000013,0.27500000000000013,11027.202392179332,1.4756140113620386,0,55,263.24321896536276,14478.377043094952,0.005,40,0.2,Vanilla MPC,16,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,11972.21810731041,0.0012791176305615437,0,56,274.13845530385777,15351.753497016034,0.005,40,0.2,Vanilla MPC,17,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.331525845081824,1,0,2779.8825000063516,2779.8825000063516,0.005,40,0.2,Vanilla MPC,18,150,42,679.2,500.1
True,REACHED,0.2200000000000001,0.2200000000000001,3291.8039325021005,4.605026193092315,0,44,262.642210293548,11556.257252916112,0.005,40,0.2,Vanilla MPC,19,150,42,679.2,500.1
True,REACHED,0.2100000000000001,0.2100000000000001,3231.3298559327663,4.756826137054517,0,42,275.91353771484654,11588.368584023556,0.005,40,0.2,Vanilla MPC,20,150,42,679.2,500.1
True,REACHED,0.24500000000000013,0.24500000000000013,4245.672720473871,4.075502392453245e-06,0,49,305.95273116148525,14991.683826912777,0.005,40,0.2,Vanilla MPC,21,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,17164.220835287,7.770070400425766e-07,0,58,304.3612291725806,17652.951292009675,0.005,40,0.2,Vanilla MPC,22,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,17593.591736733113,4.490284759128826e-06,0,58,326.09736775941263,18913.647330045933,0.005,40,0.2,Vanilla MPC,23,150,42,679.2,500.1
True,REACHED,0.29000000000000015,0.29000000000000015,15034.75712359181,2.2857767767447967e-07,0,58,333.0817787244651,19318.743166018976,0.005,40,0.2,Vanilla MPC,24,150,42,679.2,500.1
True,REACHED,0.18000000000000008,0.18000000000000008,2183.4484884534522,5.453668698859433,0,36,292.1845601667883,10518.644166004378,0.005,40,0.2,Vanilla MPC,25,150,42,679.2,500.1
True,REACHED,0.30500000000000016,0.30500000000000016,25402.631903640573,0.0030640260166059363,0,61,354.8812889510701,21647.758626015275,0.005,40,0.2,Vanilla MPC,26,150,42,679.2,500.1
