slack_weight,lam,delta,delta_over_lambda,u_max_eff_tau1,u_max_eff_tau2,n_kept,n_total,funnel_pct
5e-05,1.70115567681868e-07,1.27855408358021e-05,75.15797060802956,696.2,500.1,195,250,0.0
2e-05,1.70115567681868e-07,1.68213584033041e-05,98.88194615299176,696.4,500.1,195,250,0.0
1.5e-05,1.70115567681868e-07,1.18846093526679e-05,69.86197391936068,696.1,500.1,195,250,0.0
1.1e-05,1.70115567681868e-07,-1.79119296409309e-05,-105.29271297749705,695.7,500.1,195,250,100.0
1.05e-05,1.70115567681868e-07,-1.79018502352898e-05,-105.2334626350478,696.1,500.1,195,250,100.0
1e-05,1.70115567681868e-07,-1.6071907027846e-05,-94.47640358172256,696.1,500.1,195,250,100.0
1.3e-05,1.70115567681868e-07,7.395063492343e-06,43.47082158978218,696.8,500.1,195,250,0.0
1.2e-05,1.70115567681868e-07,-2.43733994941445e-06,-14.327553807259449,696.0,500.1,195,250,100.0
1.25e-05,1.70115567681868e-07,2.25371208234838e-06,13.248123690613854,695.4,500.1,195,250,7.017838141017241
1.22e-05,1.70115567681868e-07,-1.77232617671497e-05,-104.18365590322604,696.2,500.1,195,250,100.0
1.23e-05,1.70115567681868e-07,-1.75427731745973e-05,-103.12267956218987,696.1,500.1,195,250,100.0
1.24e-05,1.70115567681868e-07,-1.79077978849543e-05,-105.26842504175487,696.6,500.1,195,250,100.0
